
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


24/09/2021 20:40:25 CHANNEL has been initialised

24/09/2021 20:40:25 SENDER-1 starts sending data to RECEIVER1
24/09/2021 20:40:25 SENDER-2 starts sending data to RECEIVER2
24/09/2021 20:40:25 SENDER-3 starts sending data to RECEIVER3
24/09/2021 20:40:29 SENDER-8    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:29 RECEIVER-3  ||  PACKET RECEIVED

24/09/2021 20:40:29 SENDER-1    ||  PACKET 2 SENT TO CHANNEL
24/09/2021 20:40:29 SENDER-5    ||  COLLISION
24/09/2021 20:40:29 SENDER-2    ||  COLLISION
24/09/2021 20:40:29 SENDER-6    ||  COLLISION
24/09/2021 20:40:29 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:29 SENDER-4    ||  PACKET 3 SENT TO CHANNEL
24/09/2021 20:40:29 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:29 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:29 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:29 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:29 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:29 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-2    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:30 RECEIVER-1  ||  PACKET RECEIVED

24/09/2021 20:40:30 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:30 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-5    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:31 RECEIVER-4  ||  PACKET RECEIVED

24/09/2021 20:40:31 SENDER-9    ||  PACKET 1 SENT TO CHANNEL
24/09/2021 20:40:31 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-6    ||  COLLISION
24/09/2021 20:40:31 SENDER-8    ||  COLLISION
24/09/2021 20:40:31 SENDER-7    ||  COLLISION
24/09/2021 20:40:31 SENDER-2    ||  COLLISION
24/09/2021 20:40:31 SENDER-4    ||  COLLISION
24/09/2021 20:40:31 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-8    ||  PACKET 1 SENT TO CHANNEL
24/09/2021 20:40:31 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:31 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-1    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:32 RECEIVER-9  ||  PACKET RECEIVED

24/09/2021 20:40:32 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-6    ||  FOUND CHANNEL BUSY
